Entity,Year,Afforestation,Conversion as share of forest area,Deforestation,Deforestation as share of forest area,Expansion as share of forest area,Forest area,Forest expansion,Natural forest expansion,Net forest conversion,Share of global afforestation,Share of global deforestation,Share of global forest area,Share of global forest expansion,Share of global net forest conversion,Share of regional afforestation,Share of regional deforestation,Share of regional forest area,Share of regional forest expansion,Share of regional net forest conversion
Cambodia,1990,,,,,,11004.79,,,,,,0.2597654420354374,,,,,,,
Cambodia,2000,,,,,,10781.0,,,,,,0.259280221366868,,,,,,,
Cambodia,2010,,,,,,10589.23,,,,,,0.25787658757777215,,,,,,,
Cambodia,2015,,,,,,8846.82,,,,,,0.21662847884574343,,,,,,,
Cameroon,1990,0.3,-0.4011111111111111,90.55,0.40244444444444444,0.0013333333333333333,22500.0,0.3,0.0,-90.25,0.01319249610821365,0.6556296905036871,0.5311071311490124,0.004148247296379824,1.3681746654983498,,,,,
Cameroon,2000,2.0,-0.3227226867566555,71.7,0.3319830221011793,0.009260335344523831,21597.49,2.0,0.0,-69.7,0.07219330479291348,0.5590412248070841,0.5194139679221518,0.0211113656203522,2.0435028629563066,,,,,
Cameroon,2010,2.0,-0.267936430168111,58.0,0.27750558838840067,0.009569158220289678,20900.48,2.0,0.0,-56.0,0.08941584627627709,0.7115726245742832,0.5089836051476335,0.028810265673864917,4.6319655249423075,,,,,
Cameroon,2015,2.0,-0.27157466751501425,58.0,0.28127376278340754,0.009699095268393364,20620.48,2.0,0.0,-56.0,0.13038319621367206,0.7718493243656862,0.5049252969393607,0.04263546887291007,1.9833258958612237,,,,,
Canada,1990,7.33,-0.01352387623120752,54.42,0.01562567610408308,0.0021017998728755636,348272.93,7.32,,-47.1,0.3223366549106868,0.39402946170304426,8.220899409296036,0.10121723403166771,0.7140279971742081,,,,,
Canada,2000,2.47,-0.013795206507887235,50.45,0.01450538074870594,0.0007101742408187051,347801.97,2.47,,-47.980000000000004,0.08915873141924817,0.39335606403789947,8.364546124982171,0.026072536541134974,1.4067039794066512,,,,,
